,Name,Count,Null,Accuracy,Completeness,Validity,Currentness,Consistency
17,BMI,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,"[3, 4, 7, 15, 24, 36, 50, 58, 65, 67, 72, 83, 84, 86, 91, 92, 94, 95, 98, 105, 108, 109, 111, 117, 118, 120, 125, 127, 129, 133, 136, 143, 147, 149, 153, 156, 160, 162, 170, 172, 178, 181, 184, 185, 186, 195, 198, 201, 205, 206, 207, 208, 209, 216, 223, 230, 231, 235, 240, 242, 249, 257, 260, 270, 271, 280, 281, 282, 290, 295, 304, 310, 324, 325, 326, 332, 339, 341, 344, 345, 349, 354, 365, 367, 376, 381, 391, 395, 396, 399, 409, 410, 413, 433, 438, 441, 443, 444, 446, 448, 449, 451, 460, 461, 465, 467, 471, 473, 475, 477, 480, 487, 489, 496, 498, 509, 515, 516, 528, 529, 532, 542, 547, 553, 559, 563, 576, 583, 595, 601, 604, 606, 607, 610, 616, 635, 641, 642, 644, 648, 652, 662, 665, 666, 669, 673, 678, 686, 698, 702, 704, 719, 725, 733, 734, 738, 740, 746, 747, 751, 754, 765, 766, 767, 768, 769, 775, 776, 782, 806, 816, 821, 829, 844, 848, 854, 863, 866, 870, 881, 887, 891, 919, 923, 928, 930, 933, 935, 939, 940, 942, 957, 960, 964, 970, 971, 976, 979, 984, 986, 994, 999, 1000, 1004, 1006, 1014, 1015, 1029, 1030, 1032, 1035, 1037, 1039, 1041, 1044, 1046, 1059, 1060, 1072, 1090, 1097, 1104, 1106, 1116, 1118, 1125, 1139, 1141, 1142, 1145, 1149, 1153, 1162, 1166, 1185, 1187, 1196, 1202, 1207, 1214, 1218, 1221, 1229, 1234, 1240, 1247, 1249, 1250, 1251, 1265, 1277, 1280, 1281, 1286, 1288, 1291, 1292, 1293, 1294, 1299, 1300, 1304, 1329, 1330, 1337, 1342, 1347, 1353, 1361, 1372, 1377, 1378, 1379, 1389, 1390, 1394, 1395, 1411, 1421, 1422, 1427, 1428, 1444, 1445, 1447, 1448, 1454, 1458, 1461, 1470, 1481, 1483, 1493, 1495, 1498, 1507, 1509, 1519, 1520, 1525, 1527, 1536, 1540, 1547, 1552, 1554, 1564, 1569, 1572, 1588, 1594, 1595, 1601, 1602, 1609, 1611, 1615, 1633, 1636, 1637, 1651, 1655, 1661, 1662, 1669, 1675, 1676, 1679, 1690, 1692, 1693, 1695, 1699, 1702, 1703, 1709, 1710, 1717, 1721, 1727, 1728, 1735, 1741, 1744, 1752, 1763, 1773, 1775, 1777, 1788, 1801, 1806, 1809, 1812, 1821, 1825, 1826, 1830, 1832, 1833, 1834, 1836, 1846, 1852, 1853, 1861, 1865, 1866, 1872, 1879, 1882, 1885, 1909, 1918, 1923, 1926, 1930, 1936, 1947, 1950, 1952, 1968, 1972, 1979, 1983, 1987, 1996, 1998, 2005, 2018, 2021, 2022, 2034, 2038, 2047, 2056, 2071, 2073, 2074, 2078, 2079, 2083, 2088, 2090, 2095, 2096, 2101, 2102, 2106, 2114, 2117, 2122, 2124, 2134, 2137, 2142, 2147, 2149, 2153, 2158, 2167, 2185, 2190, 2193, 2197, 2200, 2201, 2206, 2207, 2209, 2210, 2222, 2225, 2227, 2234, 2240, 2242, 2247, 2261, 2272, 2273, 2275, 2276, 2277, 2283, 2286, 2287, 2293, 2294, 2295, 2296, 2300, 2303, 2307, 2315, 2322, 2324, 2327, 2330, 2337, 2339, 2340, 2341, 2344, 2346, 2348, 2356, 2362, 2369, 2391, 2394, 2398, 2400, 2402, 2403, 2404, 2407, 2418, 2423, 2426, 2427, 2429, 2433, 2437, 2443, 2445, 2455, 2469, 2470, 2477, 2478, 2484, 2489, 2490, 2495, 2500, 2501, 2502, 2503, 2504, 2505, 2507, 2510, 2512, 2514, 2518, 2522, 2524, 2525, 2528, 2530, 2545, 2548, 2552, 2561, 2567, 2569, 2571, 2581, 2582, 2586, 2589, 2604, 2610, 2615, 2617, 2620, 2621, 2623, 2628, 2631, 2634, 2638, 2640, 2650, 2653, 2659, 2660, 2675, 2677, 2684, 2691, 2694, 2697, 2702, 2715, 2717, 2721, 2724, 2725, 2729, 2735, 2737, 2742, 2749, 2752, 2754, 2755, 2765, 2767, 2779, 2783, 2786, 2789, 2791, 2792, 2796, 2802, 2805, 2806, 2807, 2818, 2819, 2820, 2826, 2828, 2837, 2839, 2843, 2852, 2860, 2865, 2869, 2872, 2876, 2878, 2885, 2888, 2891, 2892, 2893, 2897, 2902, 2905, 2917, 2920, 2926, 2929, 2931, 2935, 2937, 2941, 2943, 2946, 2947, 2948, 2952, 2955, 2956, 2958, 2969, 2972, 2973, 2978, 2984, 3003, 3004, 3008, 3022, 3024, 3025, 3037, 3044, 3045, 3056, 3059, 3068, 3099, 3100, 3118, 3120, 3129, 3137, 3141, 3151, 3155, 3160, 3177, 3178, 3182, 3192, 3194, 3199, 3205, 3211, 3212, 3220, 3229, 3231, 3233, 3234, 3240, 3246, 3247, 3263, 3268, 3279, 3285, 3288, 3289, 3290, 3292, 3293, 3296, 3299, 3300, 3302, 3304, 3308, 3313, 3320, 3321, 3326, 3327, 3331, 3337, 3342, 3350, 3351, 3364, 3373, 3375, 3381, 3384, 3385, 3393, 3405, 3407, 3410, 3411, 3419, 3429, 3431, 3434, 3437, 3443, 3457, 3466, 3474, 3478, 3479, 3495, 3498, 3515, 3523, 3525, 3531, 3533, 3535, 3538, 3541, 3542, 3548, 3552, 3555, 3558, 3559, 3562, 3569, 3572, 3573, 3577, 3581, 3591, 3602, 3608, 3631, 3633, 3635, 3641, 3652, 3662, 3666, 3674, 3677, 3678, 3682, 3684, 3689, 3692, 3695, 3700, 3707, 3709, 3714, 3715, 3719, 3721, 3730, 3735, 3736, 3737, 3747, 3749, 3752, 3754, 3757, 3765, 3771, 3773, 3785, 3790, 3808, 3809, 3811, 3813, 3819, 3820, 3821, 3828, 3829, 3839, 3842, 3848, 3855, 3868, 3871, 3872, 3875, 3880, 3881, 3890, 3896, 3899, 3900, 3901, 3917, 3918, 3919, 3924, 3929, 3937, 3946, 3951, 3955, 3957, 3964, 3971, 3979, 3986, 3995, 3998, 4000, 4009, 4014, 4016, 4018, 4019, 4025, 4028, 4031, 4035, 4052, 4056, 4058, 4062, 4071, 4072, 4079, 4086, 4105, 4111, 4125, 4130, 4137, 4139, 4143, 4147, 4154, 4169, 4173, 4174, 4177, 4178, 4181, 4191, 4195, 4196, 4199, 4206, 4207, 4210, 4216, 4222, 4225, 4228, 4231, 4235, 4238, 4240, 4248, 4251, 4254, 4257, 4260, 4265, 4268, 4269, 4277, 4280, 4284, 4287, 4289, 4290, 4291, 4293, 4297, 4301, 4309, 4311, 4326, 4330, 4332, 4338, 4350, 4357, 4372, 4379, 4381, 4407, 4409, 4411, 4417, 4418, 4420, 4423, 4424, 4426, 4429, 4435, 4441, 4447, 4451, 4454, 4463, 4468, 4471, 4490, 4491, 4492, 4497, 4501, 4506, 4508, 4533, 4544, 4548, 4559, 4562, 4563, 4585, 4587, 4591, 4592, 4595, 4599, 4605, 4611, 4618, 4620, 4623, 4626, 4628, 4634, 4637, 4644, 4651, 4659, 4661, 4664, 4665, 4676, 4689, 4692, 4712, 4717, 4719, 4720, 4721, 4724, 4726, 4727, 4732, 4738, 4742, 4743, 4744, 4760, 4770, 4775, 4779, 4781, 4782, 4789, 4799, 4803, 4804, 4805, 4806, 4809, 4812, 4815, 4820, 4824, 4833, 4838, 4847, 4850, 4851, 4854, 4855, 4857, 4868, 4871, 4876, 4887, 4896, 4911, 4913, 4914, 4915, 4919, 4921, 4924, 4931, 4932, 4936, 4944, 4946, 4949, 4950, 4951, 4961, 4962, 4965, 4972, 4974, 4979, 4983, 4984, 4990, 4996, 5000, 5001, 5019, 5032, 5033, 5046, 5051, 5053, 5054, 5076, 5078, 5079, 5083, 5085, 5093, 5105, 5108, 5109, 5111, 5124, 5125, 5147, 5148, 5154, 5159, 5160, 5165, 5171, 5173, 5179, 5188, 5192, 5195, 5196, 5199, 5200, 5207, 5209, 5212, 5217, 5219, 5220, 5221, 5230, 5244, 5248, 5249, 5252, 5260, 5271, 5281, 5297, 5298, 5302, 5306, 5310, 5319, 5323, 5325, 5326, 5327, 5329, 5330, 5331, 5333, 5337, 5340, 5344, 5345, 5346, 5364, 5369, 5376, 5378, 5380, 5383, 5392, 5395, 5397, 5412, 5417, 5418, 5423, 5432, 5440, 5444, 5448, 5455, 5458, 5464, 5472, 5478, 5486, 5489, 5498, 5501, 5503, 5507, 5511, 5513, 5514, 5519, 5520, 5525, 5528, 5533, 5535, 5539, 5542, 5547, 5550, 5553, 5555, 5564, 5567, 5569, 5573, 5595, 5602, 5604, 5609, 5610, 5611, 5614, 5625, 5631, 5633, 5634, 5645, 5649, 5653, 5657, 5658, 5662, 5673, 5674, 5685, 5687, 5688, 5692, 5700, 5705, 5709, 5712, 5714, 5716, 5718, 5720, 5721, 5723, 5736, 5737, 5739, 5746, 5748, 5750, 5766, 5767, 5774, 5784, 5806, 5811, 5814, 5819, 5827, 5832, 5851, 5853, 5855, 5857, 5863, 5866, 5870, 5872, 5874, 5883, 5885, 5887, 5888, 5898, 5901, 5908, 5913, 5918, 5922, 5923, 5925, 5935, 5936, 5938, 5941, 5946, 5949, 5952, 5953, 5955, 5962, 5964, 5977, 5980, 5981, 5983, 5984, 5991, 5993, 6001, 6018, 6020, 6030, 6033, 6044, 6057, 6060, 6061, 6062, 6065, 6067, 6074, 6075, 6079, 6086, 6088, 6101, 6118, 6119, 6126, 6132, 6141, 6142, 6153, 6154, 6158, 6165, 6170, 6174, 6181, 6184, 6186, 6190, 6191, 6192, 6207, 6213, 6214, 6218, 6219, 6235, 6242, 6244, 6252, 6261, 6262, 6263, 6272, 6277, 6283, 6291, 6297, 6301, 6305, 6307, 6308, 6313, 6326, 6329, 6337, 6339, 6340, 6344, 6353, 6354, 6355, 6360, 6367, 6375, 6393, 6403, 6406, 6412, 6414, 6415, 6420, 6429, 6436, 6439, 6442, 6444, 6445, 6448, 6450, 6452, 6457, 6467, 6469, 6478, 6482, 6486, 6487, 6490, 6500, 6513, 6514, 6516, 6518, 6519, 6531, 6541, 6551, 6552, 6566, 6569, 6575, 6579, 6587, 6594, 6614, 6625, 6628, 6635, 6636, 6639, 6641, 6642, 6648, 6659, 6664, 6668, 6669, 6671, 6676, 6688, 6692, 6699, 6705, 6707, 6711, 6712, 6713, 6714, 6743, 6745, 6746, 6751, 6757, 6759, 6767, 6775, 6781, 6784, 6788, 6789, 6795, 6805, 6807, 6808, 6818, 6820, 6824, 6830, 6834, 6835, 6836, 6840, 6843, 6844, 6848, 6853, 6857, 6871, 6873, 6875, 6880, 6881, 6882, 6883, 6888, 6893, 6896, 6912, 6913, 6914, 6916, 6927, 6928, 6930, 6931, 6933, 6942, 6943, 6945, 6947, 6952, 6956, 6972, 6975, 6982, 6985, 6998, 7000, 7012, 7016, 7017, 7024, 7027, 7036, 7037, 7041, 7043, 7047, 7048, 7053, 7054, 7064, 7080, 7083, 7090, 7108, 7115, 7121, 7122, 7123, 7128, 7130, 7132, 7138, 7140, 7143, 7150, 7159, 7166, 7181, 7186, 7192, 7195, 7198, 7201, 7203, 7205, 7210, 7212, 7213, 7231, 7238, 7241, 7243, 7245, 7253, 7260, 7262, 7263, 7280, 7287, 7288, 7290, 7293, 7296, 7299, 7300, 7302, 7308, 7310, 7316, 7317, 7323, 7328, 7330, 7333, 7337, 7347, 7351, 7358, 7370, 7382, 7419, 7425, 7429, 7434, 7435, 7436, 7437, 7438, 7456, 7462, 7464, 7465, 7467, 7484, 7496, 7505, 7511, 7514, 7519, 7523, 7525, 7529, 7532, 7534, 7536, 7541, 7542, 7544, 7553, 7557, 7562, 7563, 7564, 7565, 7571, 7579, 7583, 7587, 7594, 7601, 7602, 7603, 7605, 7606, 7615, 7620, 7622, 7626, 7627, 7628, 7633, 7638, 7640, 7642, 7651, 7652, 7655, 7667, 7670, 7696, 7697, 7701, 7702, 7705, 7707, 7715, 7719, 7727, 7736, 7737, 7739, 7743, 7744, 7752, 7753, 7762, 7770, 7775, 7779, 7782, 7784, 7786, 7788, 7793, 7797, 7799, 7810, 7811, 7820, 7821, 7840, 7846, 7850, 7852, 7855, 7856, 7857, 7860, 7870, 7874, 7875, 7888, 7894, 7901, 7906, 7916, 7921, 7925, 7926, 7927, 7932, 7939, 7947, 7952, 7961, 7962, 7963, 7965, 7968, 7973, 7974, 7982, 7986, 7989, 8000, 8002, 8006, 8010, 8030, 8032, 8043, 8044, 8045, 8046, 8047, 8050, 8051, 8059, 8062, 8080, 8083, 8096, 8103, 8110, 8112, 8116, 8123, 8132, 8134, 8138, 8149, 8153, 8154, 8157, 8170, 8186, 8197, 8202, 8215, 8219, 8222, 8231, 8240, 8241, 8244, 8245, 8251, 8255, 8257, 8264, 8277, 8288, 8291, 8293, 8296, 8297, 8299, 8302, 8303, 8316, 8318, 8324, 8327, 8334, 8337, 8341, 8342, 8343, 8347, 8350, 8358, 8362, 8366, 8368, 8370, 8371, 8378, 8382, 8383, 8403, 8404, 8408, 8410, 8413, 8414, 8415, 8417, 8421, 8425, 8426, 8435, 8442, 8444, 8455, 8457, 8460, 8472, 8473, 8476, 8477, 8480, 8485, 8490, 8497, 8501, 8504, 8509, 8510, 8524, 8531, 8532, 8533, 8535, 8542, 8550, 8551, 8560, 8561, 8563, 8566, 8568, 8573, 8594, 8596, 8600, 8604, 8606, 8607, 8612, 8621, 8627, 8632, 8633, 8638, 8654, 8659, 8673, 8677, 8686, 8692, 8699, 8707, 8720, 8731, 8733, 8739]"
18,Triglycerides,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
19,Physical Activity Days Per Week,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
20,Sleep Hours Per Day,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
21,Country,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,"[15, 22, 25, 31, 45, 52, 71, 91, 100, 116, 134, 135, 156, 195, 196, 218, 248, 262, 287, 304, 312, 335, 345, 364, 368, 376, 381, 386, 388, 434, 442, 454, 456, 467, 521, 540, 542, 560, 564, 567, 573, 579, 597, 621, 622, 623, 637, 639, 661, 714, 716, 726, 737, 739, 750, 754, 760, 765, 780, 781, 810, 814, 834, 851, 857, 861, 863, 896, 902, 920, 942, 947, 951, 957, 966, 995, 998, 1005, 1007, 1010, 1020, 1036, 1050, 1059, 1061, 1062, 1097, 1109, 1115, 1134, 1140, 1145, 1146, 1149, 1159, 1188, 1190, 1219, 1222, 1246, 1260, 1267, 1289, 1302, 1327, 1328, 1339, 1342, 1344, 1345, 1349, 1376, 1379, 1398, 1417, 1424, 1425, 1432, 1444, 1454, 1455, 1490, 1503, 1504, 1516, 1535, 1546, 1557, 1560, 1592, 1598, 1608, 1639, 1643, 1658, 1670, 1671, 1703, 1706, 1714, 1715, 1717, 1731, 1743, 1745, 1763, 1764, 1806, 1810, 1817, 1820, 1827, 1841, 1874, 1894, 1906, 1924, 1936, 1945, 1962, 1967, 1969, 1972, 1977, 1980, 1984, 1998, 2000, 2006, 2007, 2016, 2028, 2029, 2061, 2064, 2065, 2068, 2080, 2084, 2085, 2090, 2097, 2135, 2146, 2174, 2175, 2190, 2201, 2208, 2215, 2224, 2230, 2239, 2251, 2255, 2264, 2288, 2307, 2320, 2337, 2341, 2345, 2350, 2360, 2362, 2365, 2370, 2375, 2389, 2409, 2412, 2414, 2418, 2424, 2441, 2447, 2453, 2454, 2458, 2466, 2483, 2493, 2533, 2538, 2539, 2551, 2552, 2560, 2572, 2573, 2580, 2582, 2585, 2588, 2592, 2600, 2618, 2619, 2622, 2633, 2640, 2648, 2653, 2658, 2664, 2687, 2688, 2689, 2701, 2703, 2709, 2714, 2717, 2719, 2726, 2753, 2764, 2772, 2793, 2795, 2799, 2801, 2816, 2817, 2818, 2856, 2866, 2882, 2918, 2937, 2938, 2941, 2943, 2951, 2967, 2984, 2990, 2991, 2997, 2998, 3015, 3018, 3031, 3033, 3034, 3047, 3048, 3059, 3067, 3085, 3098, 3103, 3109, 3116, 3121, 3122, 3130, 3143, 3149, 3159, 3173, 3194, 3216, 3217, 3227, 3232, 3248, 3253, 3255, 3258, 3280, 3281, 3299, 3305, 3313, 3315, 3321, 3324, 3370, 3373, 3391, 3398, 3414, 3417, 3422, 3427, 3429, 3447, 3451, 3460, 3464, 3466, 3479, 3480, 3484, 3489, 3490, 3517, 3531, 3550, 3554, 3561, 3563, 3569, 3570, 3575, 3609, 3637, 3642, 3646, 3666, 3698, 3701, 3706, 3708, 3722, 3730, 3732, 3747, 3749, 3752, 3760, 3770, 3771, 3781, 3785, 3788, 3812, 3819, 3839, 3844, 3849, 3858, 3873, 3890, 3899, 3900, 3904, 3908, 3920, 3933, 3959, 3965, 3969, 3974, 3975, 3983, 3984, 3986, 3989, 4009, 4025, 4044, 4047, 4050, 4059, 4067, 4070, 4100, 4110, 4112, 4121, 4124, 4125, 4139, 4148, 4150, 4156, 4163, 4166, 4167, 4173, 4193, 4194, 4199, 4201, 4205, 4242, 4248, 4253, 4293, 4312, 4323, 4325, 4327, 4333, 4340, 4342, 4352, 4353, 4362, 4367, 4368, 4372, 4391, 4392, 4405, 4408, 4415, 4426, 4439, 4456, 4458, 4459, 4484, 4488, 4506, 4516, 4523, 4525, 4542, 4544, 4573, 4581, 4585, 4591, 4609, 4620, 4636, 4640, 4642, 4645, 4650, 4662, 4669, 4677, 4679, 4690, 4716, 4720, 4730, 4756, 4761, 4770, 4771, 4780, 4784, 4789, 4793, 4800, 4822, 4832, 4852, 4856, 4877, 4878, 4881, 4885, 4898, 4902, 4903, 4920, 4942, 4947, 4952, 4956, 4960, 4963, 4977, 4999, 5001, 5006, 5025, 5034, 5035, 5043, 5067, 5068, 5070, 5077, 5085, 5102, 5107, 5115, 5126, 5129, 5159, 5161, 5171, 5186, 5192, 5202, 5203, 5222, 5226, 5246, 5252, 5253, 5257, 5262, 5267, 5277, 5279, 5314, 5316, 5318, 5332, 5353, 5359, 5369, 5391, 5392, 5395, 5403, 5406, 5417, 5429, 5434, 5440, 5446, 5470, 5495, 5526, 5530, 5551, 5565, 5574, 5583, 5594, 5603, 5610, 5618, 5631, 5638, 5660, 5684, 5697, 5729, 5730, 5735, 5755, 5769, 5771, 5772, 5774, 5783, 5839, 5841, 5844, 5852, 5863, 5867, 5881, 5893, 5894, 5907, 5911, 5912, 5916, 5925, 5959, 5962, 5981, 5982, 5984, 5988, 5991, 5994, 5995, 5998, 6011, 6016, 6017, 6042, 6055, 6074, 6105, 6109, 6114, 6115, 6119, 6140, 6148, 6150, 6180, 6186, 6194, 6201, 6203, 6208, 6213, 6240, 6243, 6266, 6281, 6294, 6305, 6338, 6355, 6362, 6366, 6367, 6379, 6392, 6405, 6408, 6415, 6417, 6420, 6427, 6438, 6439, 6444, 6454, 6457, 6463, 6467, 6479, 6491, 6493, 6515, 6516, 6518, 6533, 6536, 6551, 6557, 6563, 6567, 6579, 6590, 6640, 6654, 6662, 6663, 6664, 6666, 6685, 6690, 6691, 6706, 6711, 6712, 6714, 6738, 6744, 6745, 6780, 6802, 6803, 6808, 6841, 6861, 6870, 6873, 6877, 6885, 6890, 6898, 6902, 6915, 6931, 6962, 6974, 6990, 6996, 6997, 7027, 7043, 7070, 7097, 7098, 7106, 7118, 7137, 7141, 7143, 7153, 7160, 7161, 7162, 7176, 7192, 7193, 7198, 7208, 7237, 7246, 7263, 7267, 7277, 7285, 7297, 7322, 7336, 7340, 7351, 7356, 7380, 7381, 7390, 7393, 7400, 7404, 7418, 7446, 7450, 7451, 7476, 7494, 7495, 7503, 7511, 7556, 7561, 7565, 7589, 7592, 7608, 7610, 7617, 7618, 7625, 7635, 7639, 7644, 7652, 7661, 7665, 7670, 7701, 7702, 7704, 7722, 7736, 7753, 7757, 7759, 7785, 7797, 7809, 7817, 7829, 7842, 7851, 7872, 7873, 7887, 7890, 7899, 7902, 7913, 7915, 7920, 7962, 7968, 7975, 7979, 7987, 7992, 7994, 8002, 8016, 8025, 8046, 8053, 8061, 8071, 8084, 8085, 8087, 8106, 8120, 8145, 8171, 8175, 8194, 8228, 8233, 8235, 8244, 8247, 8253, 8254, 8257, 8266, 8292, 8298, 8303, 8320, 8322, 8327, 8334, 8378, 8383, 8389, 8395, 8419, 8430, 8436, 8437, 8467, 8502, 8529, 8541, 8542, 8561, 8567, 8575, 8579, 8585, 8586, 8599, 8616, 8629, 8634, 8640, 8648, 8671, 8687, 8689, 8693, 8695, 8699, 8707, 8714, 8736, 8738, 8748, 8751, 8755]"
22,Continent,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
23,Hemisphere,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
24,Systolic,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
25,Diastolic,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
26,Heart Attack Risk,8763,0,1.0,1.0,1.0,Mon Dec 11 11:27:27 2023,[]
